"","X","PID","Date","Time","PosSrc","Latitude","Longitude"
"27",27,137125,"Wednesday, Month 1, day No.4","6:30:55 AM","GPS",0.0850553566657766,-0.0114671380577107
"28",28,137125,"Wednesday, Month 1, day No.4","6:32:00 AM","GPS",0.0850963566657796,-0.011442138057717
"29",29,137125,"Wednesday, Month 1, day No.4","6:33:02 AM","GPS",0.0850773566657779,-0.0114561380577101
"30",30,137125,"Wednesday, Month 1, day No.4","6:34:03 AM","GPS",0.0850663566657772,-0.0114571380577075
"31",31,137125,"Wednesday, Month 1, day No.4","6:35:04 AM","GPS",0.08504835666578,-0.0114451380577094
"32",32,137125,"Wednesday, Month 1, day No.4","6:36:06 AM","GPS",0.0850963566657796,-0.0114211380577132
"33",33,137125,"Wednesday, Month 1, day No.4","6:37:12 AM","GPS",0.0850383566657769,-0.0114861380577196
"34",34,137125,"Wednesday, Month 1, day No.4","6:38:13 AM","GPS",0.0850663566657772,-0.0113811380577147
"35",35,137125,"Wednesday, Month 1, day No.4","6:39:15 AM","GPS",0.0850713566657788,-0.0114531380577176
"36",36,137125,"Wednesday, Month 1, day No.4","6:42:07 AM","GPS",0.0850383566657769,-0.0114651380577158
"37",37,137125,"Wednesday, Month 1, day No.4","6:43:55 AM","GPS",0.0850583566657761,-0.0114641380577183
"38",38,137125,"Wednesday, Month 1, day No.4","6:45:07 AM","GPS",0.085050356665775,-0.0114461380577069
"39",39,137125,"Wednesday, Month 1, day No.4","6:46:09 AM","GPS",0.085046356665778,-0.0114041380577135
"40",40,137125,"Wednesday, Month 1, day No.4","6:47:11 AM","GPS",0.0850383566657769,-0.0114771380577139
"41",41,137125,"Wednesday, Month 1, day No.4","6:48:12 AM","GPS",0.0849933566657768,-0.0114721380577123
"42",42,137125,"Wednesday, Month 1, day No.4","6:49:23 AM","GPS",0.0850083566657744,-0.0114661380577132
"43",43,137125,"Wednesday, Month 1, day No.4","6:50:28 AM","GPS",0.085011356665774,-0.0114651380577158
"44",44,137125,"Wednesday, Month 1, day No.4","6:51:29 AM","GPS",0.0850273566657762,-0.0114301380577189
"45",45,137125,"Wednesday, Month 1, day No.4","6:52:33 AM","GPS",0.0850233566657792,-0.0113761380577131
"46",46,137125,"Wednesday, Month 1, day No.4","6:53:35 AM","GPS",0.0850083566657744,-0.0114671380577107
"47",47,137125,"Wednesday, Month 1, day No.4","6:54:39 AM","GPS",0.085052356665777,-0.0114511380577085
"48",48,137125,"Wednesday, Month 1, day No.4","6:56:13 AM","GPS",0.0850323566657778,-0.0114651380577158
"49",49,137125,"Wednesday, Month 1, day No.4","6:57:15 AM","GPS",0.0850363566657748,-0.0114771380577139
"50",50,137125,"Wednesday, Month 1, day No.4","6:58:36 AM","GPS",0.0850103566657765,-0.0114881380577145
"51",51,137125,"Wednesday, Month 1, day No.4","6:59:40 AM","GPS",0.0848073566657774,-0.0116631380577132
"52",52,137125,"Wednesday, Month 1, day No.4","7:00:48 AM","GPS",0.0858783566657735,-0.0168971380577148
"53",53,137125,"Wednesday, Month 1, day No.4","7:01:50 AM","GPS",0.0855363566657772,-0.019876138057711
"54",54,137125,"Wednesday, Month 1, day No.4","7:02:57 AM","GPS",0.0848623566657736,-0.0225351380577195
"55",55,137125,"Wednesday, Month 1, day No.4","7:04:01 AM","GPS",0.0882753566657755,-0.0304001380577148
"56",56,137125,"Wednesday, Month 1, day No.4","7:05:05 AM","GPS",0.0952463566657755,-0.0386831380577206
"57",57,137125,"Wednesday, Month 1, day No.4","7:06:11 AM","GPS",0.0971053566657787,-0.0384101380577135
"58",58,137125,"Wednesday, Month 1, day No.4","7:07:15 AM","GPS",0.0971903566657772,-0.038883138057713
"59",59,137125,"Wednesday, Month 1, day No.4","7:08:20 AM","GPS",0.0971793566657766,-0.0391411380577154
"60",60,137125,"Wednesday, Month 1, day No.4","7:09:22 AM","GPS",0.0973793566657761,-0.0391921380577145
"61",61,137125,"Wednesday, Month 1, day No.4","7:10:24 AM","GPS",0.0972643566657752,-0.0392651380577149
"62",62,137125,"Wednesday, Month 1, day No.4","7:11:28 AM","GPS",0.0973483566657762,-0.0390281380577164
"63",63,137125,"Wednesday, Month 1, day No.4","7:12:33 AM","GPS",0.0972153566657781,-0.0392261380577139
"64",64,137125,"Wednesday, Month 1, day No.4","7:13:39 AM","GPS",0.0972163566657755,-0.0391251380577131
"65",65,137125,"Wednesday, Month 1, day No.4","7:14:41 AM","GPS",0.0955923566657759,-0.039269138057719
"66",66,137125,"Wednesday, Month 1, day No.4","7:15:41 AM","GPS",0.0949783566657771,-0.0395031380577109
"67",67,137125,"Wednesday, Month 1, day No.4","7:16:42 AM","GPS",0.092924356665776,-0.0379971380577189
"68",68,137125,"Wednesday, Month 1, day No.4","7:17:42 AM","GPS",0.0884823566657786,-0.0307191380577194
"69",69,137125,"Wednesday, Month 1, day No.4","7:19:04 AM","GPS",0.0792733566657731,-0.0261131380577098
"70",70,137125,"Wednesday, Month 1, day No.4","7:20:17 AM","GPS",0.0648653566657771,-0.033484138057716
"71",71,137125,"Wednesday, Month 1, day No.4","7:21:18 AM","GPS",0.0531183566657774,-0.0332651380577147
"72",72,137125,"Wednesday, Month 1, day No.4","7:23:49 AM","GPS",0.0202913566657799,-0.0338191380577086
"73",73,137125,"Wednesday, Month 1, day No.4","7:24:58 AM","GPS",0.00486535666577481,-0.035534138057713
"74",74,137125,"Wednesday, Month 1, day No.4","7:26:03 AM","GPS",-0.00575964333422263,-0.0239191380577068
"75",75,137125,"Wednesday, Month 1, day No.4","7:28:19 AM","GPS",-0.0222686433342218,-0.00871213805771731
"76",76,137125,"Wednesday, Month 1, day No.4","7:33:52 AM","GPS",-0.0706636433342211,0.0087438619422926
"77",77,137125,"Wednesday, Month 1, day No.4","7:34:52 AM","GPS",-0.0772626433342225,0.0145738619422815
"78",78,137125,"Wednesday, Month 1, day No.4","7:35:55 AM","GPS",-0.0878166433342216,0.0108828619422923
"79",79,137125,"Wednesday, Month 1, day No.4","7:36:58 AM","GPS",-0.0916096433342233,0.00994886194229139
"80",80,137125,"Wednesday, Month 1, day No.4","7:38:41 AM","GPS",-0.095367643334221,0.0101908619422915
"81",81,137125,"Wednesday, Month 1, day No.4","7:39:46 AM","GPS",-0.102284643334222,0.0105028619422853
"82",82,137125,"Wednesday, Month 1, day No.4","7:40:48 AM","GPS",-0.10311564333422,0.0112448619422878
"83",83,137125,"Wednesday, Month 1, day No.4","7:43:24 AM","GPS",-0.11361864333422,0.00535586194229154
"84",84,137125,"Wednesday, Month 1, day No.4","7:44:26 AM","GPS",-0.119352643334224,0.0058608619422813
"85",85,137125,"Wednesday, Month 1, day No.4","7:45:32 AM","GPS",-0.124381643334225,0.00620986194228124
"86",86,137125,"Wednesday, Month 1, day No.4","7:46:32 AM","GPS",-0.125442643334225,0.00564486194228664
"87",87,137125,"Wednesday, Month 1, day No.4","7:47:36 AM","GPS",-0.12381764333422,0.00511386194229146
"88",88,137125,"Wednesday, Month 1, day No.4","7:48:37 AM","GPS",-0.124102643334226,0.00539286194228339
"89",89,137125,"Wednesday, Month 1, day No.4","7:49:38 AM","GPS",-0.123712643334223,0.00651186194228615
"90",90,137125,"Wednesday, Month 1, day No.4","7:50:39 AM","GPS",-0.123509643334224,0.00593686194228837
"91",91,137125,"Wednesday, Month 1, day No.4","7:51:39 AM","GPS",-0.123412643334227,0.00595086194228145
"92",92,137125,"Wednesday, Month 1, day No.4","7:53:21 AM","GPS",-0.123546643334222,0.00578086194228433
"93",93,137125,"Wednesday, Month 1, day No.4","7:54:23 AM","GPS",-0.123552643334222,0.00582386194228945
"94",94,137125,"Wednesday, Month 1, day No.4","7:55:29 AM","GPS",-0.123573643334225,0.00611686194228866
"95",95,137125,"Wednesday, Month 1, day No.4","7:59:07 AM","GPS",-0.123502643334227,0.00582886194229104
"96",96,137125,"Wednesday, Month 1, day No.4","8:04:42 AM","GPS",-0.123517643334225,0.00592586194228772
"97",97,137125,"Wednesday, Month 1, day No.4","8:05:44 AM","GPS",-0.123370643334226,0.00592186194228361
"98",98,137125,"Wednesday, Month 1, day No.4","8:06:48 AM","GPS",-0.124124643334227,0.00537286194229125
"99",99,137125,"Wednesday, Month 1, day No.4","8:07:53 AM","GPS",-0.124168643334222,0.00529086194228512
"100",100,137125,"Wednesday, Month 1, day No.4","8:09:02 AM","GPS",-0.124083643334224,0.00550586194228231
"101",101,137125,"Wednesday, Month 1, day No.4","8:10:05 AM","GPS",-0.124156643334224,0.0051908619422818
"102",102,137125,"Wednesday, Month 1, day No.4","8:11:22 AM","GPS",-0.124167643334225,0.00513186194228865
"103",103,137125,"Wednesday, Month 1, day No.4","8:12:44 AM","GPS",-0.124170643334224,0.00511286194227978
"104",104,137125,"Wednesday, Month 1, day No.4","8:14:38 AM","GPS",-0.124170643334224,0.0051118619422823
"105",105,137125,"Wednesday, Month 1, day No.4","8:16:57 AM","GPS",-0.124170643334224,0.0051118619422823
"106",106,137125,"Wednesday, Month 1, day No.4","8:22:14 AM","GPS",-0.124006643334226,0.00512986194227949
"107",107,137125,"Wednesday, Month 1, day No.4","8:23:28 AM","GPS",-0.124249643334224,0.00602286194228441
"108",108,137125,"Wednesday, Month 1, day No.4","8:30:18 AM","GPS",-0.124192643334226,0.0055848619422818
"109",109,137125,"Wednesday, Month 1, day No.4","8:31:31 AM","GPS",-0.124193643334223,0.00559286194229003
"110",110,137125,"Wednesday, Month 1, day No.4","8:36:10 AM","GPS",-0.124170643334224,0.00511286194227978
"111",111,137125,"Wednesday, Month 1, day No.4","8:45:48 AM","GPS",-0.123814643334221,0.00535186194228743
"112",112,137125,"Wednesday, Month 1, day No.4","9:04:12 AM","GPS",-0.124170643334224,0.0051118619422823
"113",113,137125,"Wednesday, Month 1, day No.4","9:07:52 AM","GPS",-0.123994643334221,0.00523086194228028
"114",114,137125,"Wednesday, Month 1, day No.4","9:14:17 AM","GPS",-0.124160643334221,0.00549486194228166
"115",115,137125,"Wednesday, Month 1, day No.4","9:15:55 AM","GPS",-0.124162643334223,0.00544586194229169
"116",116,137125,"Wednesday, Month 1, day No.4","9:44:41 AM","GPS",-0.124089643334223,0.0056378619422901
"117",117,137125,"Wednesday, Month 1, day No.4","9:48:07 AM","GPS",-0.12413564333422,0.00532486194228454
"118",118,137125,"Wednesday, Month 1, day No.4","10:04:12 AM","GPS",-0.124220643334226,0.00592386194229277
"119",119,137125,"Wednesday, Month 1, day No.4","10:08:50 AM","GPS",-0.124129643334221,0.0058568619422914
"120",120,137125,"Wednesday, Month 1, day No.4","10:09:51 AM","GPS",-0.123327643334221,0.00585586194227972
"121",121,137125,"Wednesday, Month 1, day No.4","10:13:19 AM","GPS",-0.123318643334223,0.00600086194228311
"122",122,137125,"Wednesday, Month 1, day No.4","10:18:00 AM","GPS",-0.123380643334222,0.00591186194228044
"123",123,137125,"Wednesday, Month 1, day No.4","10:19:47 AM","GPS",-0.123522643334226,0.00598086194229097
"124",124,137125,"Wednesday, Month 1, day No.4","10:35:43 AM","GPS",-0.123487643334222,0.00600486194228722
"125",125,137125,"Wednesday, Month 1, day No.4","11:00:33 AM","GPS",-0.123513643334221,0.00594186194228996
"126",126,137125,"Wednesday, Month 1, day No.4","11:24:41 AM","GPS",-0.123542643334225,0.00601686194228535
"127",127,137125,"Wednesday, Month 1, day No.4","11:29:57 AM","GPS",-0.123521643334222,0.00583086194228599
"128",128,137125,"Wednesday, Month 1, day No.4","11:48:50 AM","GPS",-0.12348564333422,0.00602686194228852
"129",129,137125,"Wednesday, Month 1, day No.4","12:04:44 PM","GPS",-0.123503643334224,0.00596286194227957
"130",130,137125,"Wednesday, Month 1, day No.4","12:08:05 PM","GPS",-0.123473643334222,0.00596086194228462
"131",131,137125,"Wednesday, Month 1, day No.4","12:10:04 PM","GPS",-0.123511643334226,0.00593286194228426
"132",132,137125,"Wednesday, Month 1, day No.4","12:12:59 PM","GPS",-0.123438643334225,0.0059398619422808
"133",133,137125,"Wednesday, Month 1, day No.4","12:20:01 PM","GPS",-0.123503643334224,0.00580886194228469
"134",134,137125,"Wednesday, Month 1, day No.4","12:23:25 PM","GPS",-0.123568643334224,0.00578586194228592
"135",135,137125,"Wednesday, Month 1, day No.4","12:25:20 PM","GPS",-0.123353643334227,0.00597686194228686
"136",136,137125,"Wednesday, Month 1, day No.4","12:30:36 PM","GPS",-0.123486643334225,0.00586786194229205
"137",137,137125,"Wednesday, Month 1, day No.4","12:41:25 PM","GPS",-0.123462643334221,0.00593086194228931
"138",138,137125,"Wednesday, Month 1, day No.4","12:49:28 PM","GPS",-0.123577643334222,0.00598786194228751
"139",139,137125,"Wednesday, Month 1, day No.4","12:57:00 PM","GPS",-0.123566643334222,0.00597486194229191
"140",140,137125,"Wednesday, Month 1, day No.4","1:01:49 PM","GPS",-0.123445643334222,0.00579186194228498
"141",141,137125,"Wednesday, Month 1, day No.4","1:03:14 PM","GPS",-0.123470643334223,0.00582086194228282
"142",142,137125,"Wednesday, Month 1, day No.4","1:04:16 PM","GPS",-0.123489643334224,0.0058608619422813
"143",143,137125,"Wednesday, Month 1, day No.4","1:06:21 PM","GPS",-0.123567643334226,0.00578686194228339
"144",144,137125,"Wednesday, Month 1, day No.4","1:07:25 PM","GPS",-0.123493643334221,0.00582286194229198
"145",145,137125,"Wednesday, Month 1, day No.4","1:08:31 PM","GPS",-0.123447643334224,0.00590186194229148
"146",146,137125,"Wednesday, Month 1, day No.4","1:19:17 PM","GPS",-0.12366864333422,0.00556986194229125
"147",147,137125,"Wednesday, Month 1, day No.4","1:47:20 PM","GPS",-0.12366864333422,0.00556986194229125
"148",148,137125,"Wednesday, Month 1, day No.4","1:55:22 PM","GPS",-0.12366864333422,0.00556886194227957
"149",149,137125,"Wednesday, Month 1, day No.4","2:03:26 PM","GPS",-0.12366864333422,0.00556986194229125
"150",150,137125,"Wednesday, Month 1, day No.4","2:19:53 PM","GPS",-0.123672643334224,0.00556186194228303
"151",151,137125,"Wednesday, Month 1, day No.4","3:08:10 PM","GPS",-0.123675643334224,0.00555386194228902
"152",152,137125,"Wednesday, Month 1, day No.4","3:09:35 PM","GPS",-0.123679643334221,0.00555186194227986
"153",153,137125,"Wednesday, Month 1, day No.4","3:11:49 PM","GPS",-0.123678643334223,0.00555286194229154
"154",154,137125,"Wednesday, Month 1, day No.4","3:14:29 PM","GPS",-0.123676643334221,0.00555286194229154
"155",155,137125,"Wednesday, Month 1, day No.4","3:16:02 PM","GPS",-0.123675643334224,0.00555386194228902
"156",156,137125,"Wednesday, Month 1, day No.4","3:17:23 PM","GPS",-0.123664643334223,0.00557086194228873
"157",157,137125,"Wednesday, Month 1, day No.4","3:28:32 PM","GPS",-0.123677643334226,0.00555486194228649
"158",158,137125,"Wednesday, Month 1, day No.4","3:32:36 PM","GPS",-0.123680643334225,0.00555086194228238
"159",159,137125,"Wednesday, Month 1, day No.4","3:35:26 PM","GPS",-0.123679643334221,0.00555186194227986
"160",160,137125,"Wednesday, Month 1, day No.4","3:37:26 PM","GPS",-0.123678643334223,0.00555186194227986
"161",161,137125,"Wednesday, Month 1, day No.4","3:39:03 PM","GPS",-0.123676643334221,0.00555286194229154
"162",162,137125,"Wednesday, Month 1, day No.4","3:40:22 PM","GPS",-0.123678643334223,0.00555186194227986
"163",163,137125,"Wednesday, Month 1, day No.4","3:42:15 PM","GPS",-0.123680643334225,0.00555086194228238
"164",164,137125,"Wednesday, Month 1, day No.4","3:48:25 PM","GPS",-0.123678643334223,0.00555386194228902
"165",165,137125,"Wednesday, Month 1, day No.4","3:49:51 PM","GPS",-0.123679643334221,0.00555186194227986
"166",166,137125,"Wednesday, Month 1, day No.4","3:52:24 PM","GPS",-0.123678643334223,0.00555186194227986
"167",167,137125,"Wednesday, Month 1, day No.4","3:54:20 PM","GPS",-0.123678643334223,0.00555186194227986
"168",168,137125,"Wednesday, Month 1, day No.4","3:56:01 PM","GPS",-0.123678643334223,0.00555286194229154
"169",169,137125,"Wednesday, Month 1, day No.4","3:58:46 PM","GPS",-0.123680643334225,0.00555086194228238
"170",170,137125,"Wednesday, Month 1, day No.4","4:00:35 PM","GPS",-0.123678643334223,0.00555186194227986
"171",171,137125,"Wednesday, Month 1, day No.4","4:02:34 PM","GPS",-0.123677643334226,0.00555286194229154
"172",172,137125,"Wednesday, Month 1, day No.4","4:03:34 PM","GPS",-0.123340643334224,0.00588886194228166
"173",173,137125,"Wednesday, Month 1, day No.4","4:04:40 PM","GPS",-0.123526643334223,0.00590086194227979
"174",174,137125,"Wednesday, Month 1, day No.4","4:05:48 PM","GPS",-0.123411643334222,0.00611286194228455
"175",175,137125,"Wednesday, Month 1, day No.4","4:06:53 PM","GPS",-0.124234643334226,0.0056818619422927
"176",176,137125,"Wednesday, Month 1, day No.4","4:07:57 PM","GPS",-0.123838643334224,0.00510486194228577
"177",177,137125,"Wednesday, Month 1, day No.4","4:09:23 PM","GPS",-0.123880643334225,0.00506586194228476
"178",178,137125,"Wednesday, Month 1, day No.4","4:10:32 PM","GPS",-0.123724643334221,0.00517486194227956
"179",179,137125,"Wednesday, Month 1, day No.4","4:11:37 PM","GPS",-0.122343643334226,0.00606586194228953
"180",180,137125,"Wednesday, Month 1, day No.4","4:12:39 PM","GPS",-0.11837764333422,0.00574886194227986
"181",181,137125,"Wednesday, Month 1, day No.4","4:13:41 PM","GPS",-0.116654643334222,0.00569986194228989
"182",182,137125,"Wednesday, Month 1, day No.4","4:14:46 PM","GPS",-0.114356643334226,0.00547186194228289
"183",183,137125,"Wednesday, Month 1, day No.4","4:15:50 PM","GPS",-0.112577643334227,0.00525186194228411
"184",184,137125,"Wednesday, Month 1, day No.4","4:16:56 PM","GPS",-0.111245643334222,0.0052088619422932
"185",185,137125,"Wednesday, Month 1, day No.4","4:18:06 PM","GPS",-0.103389643334225,0.00351586194229014
"186",186,137125,"Wednesday, Month 1, day No.4","4:19:10 PM","GPS",-0.102789643334226,0.0112718619422907
"187",187,137125,"Wednesday, Month 1, day No.4","4:20:16 PM","GPS",-0.0973496433342262,0.0103748619422817
"188",188,137125,"Wednesday, Month 1, day No.4","4:21:19 PM","GPS",-0.0952066433342225,0.0101418619422873
"189",189,137125,"Wednesday, Month 1, day No.4","4:22:23 PM","GPS",-0.0898646433342236,0.00983686194228994
"190",190,137125,"Wednesday, Month 1, day No.4","4:23:32 PM","GPS",-0.0879236433342214,0.0113358619422854
"191",191,137125,"Wednesday, Month 1, day No.4","4:24:33 PM","GPS",-0.0752146433342205,0.0131908619422916
"192",192,137125,"Wednesday, Month 1, day No.4","4:25:34 PM","GPS",-0.0693286433342237,0.0073328619422881
"193",193,137125,"Wednesday, Month 1, day No.4","4:26:38 PM","GPS",-0.0664526433342232,0.00403986194228878
"194",194,137125,"Wednesday, Month 1, day No.4","4:27:42 PM","GPS",-0.0552816433342258,0.00383486194228055
"195",195,137125,"Wednesday, Month 1, day No.4","4:28:45 PM","GPS",-0.0433876433342206,0.00241486194228457
"196",196,137125,"Wednesday, Month 1, day No.4","4:29:46 PM","GPS",-0.0335666433342254,-0.00667613805771339
"197",197,137125,"Wednesday, Month 1, day No.4","4:30:53 PM","GPS",-0.0224476433342247,-0.010266138057716
"198",198,137125,"Wednesday, Month 1, day No.4","4:31:57 PM","GPS",-0.011888643334224,-0.0216471380577161
"199",199,137125,"Wednesday, Month 1, day No.4","4:32:59 PM","GPS",-0.00330264333422292,-0.0242501380577096
"200",200,137125,"Wednesday, Month 1, day No.4","4:34:05 PM","GPS",-0.00433264333422301,-0.0216541380577127
"201",201,137125,"Wednesday, Month 1, day No.4","4:35:07 PM","GPS",-0.00795764333422255,-0.0215081380577118
"202",202,137125,"Wednesday, Month 1, day No.4","4:36:09 PM","GPS",-0.00768964333422417,-0.0219521380577135
"203",203,137125,"Wednesday, Month 1, day No.4","4:37:11 PM","GPS",-0.00795764333422255,-0.022464138057714
"204",204,137125,"Wednesday, Month 1, day No.4","4:38:13 PM","GPS",-0.00779964333422356,-0.0225281380577087
"205",205,137125,"Wednesday, Month 1, day No.4","4:39:18 PM","GPS",-0.00835464333422209,-0.0222871380577203
"206",206,137125,"Wednesday, Month 1, day No.4","4:40:20 PM","GPS",-0.00720964333422103,-0.0204181380577069
"207",207,137125,"Wednesday, Month 1, day No.4","4:41:25 PM","GPS",-0.00277964333422176,-0.0245891380577206
"208",208,137125,"Wednesday, Month 1, day No.4","4:42:28 PM","GPS",0.000500356665774859,-0.0290961380577102
"209",209,137125,"Wednesday, Month 1, day No.4","4:43:30 PM","GPS",0.00306035666577742,-0.0324621380577099
"210",210,137125,"Wednesday, Month 1, day No.4","4:44:31 PM","GPS",0.00553035666577983,-0.0344551380577087
"211",211,137125,"Wednesday, Month 1, day No.4","4:45:59 PM","GPS",0.0119683566657756,-0.0346501380577138
"212",212,137125,"Wednesday, Month 1, day No.4","4:47:01 PM","GPS",0.0158963566657775,-0.034399138057708
"213",213,137125,"Wednesday, Month 1, day No.4","4:48:03 PM","GPS",0.0194983566657783,-0.0340251380577143
"214",214,137125,"Wednesday, Month 1, day No.4","4:49:07 PM","GPS",0.021292356665775,-0.033248138057715
"215",215,137125,"Wednesday, Month 1, day No.4","4:50:08 PM","GPS",0.0242753566657754,-0.0328511380577083
"216",216,137125,"Wednesday, Month 1, day No.4","4:51:12 PM","GPS",0.0274043566657767,-0.0333951380577133
"217",217,137125,"Wednesday, Month 1, day No.4","4:52:14 PM","GPS",0.0304563566657734,-0.0321271380577173
"218",218,137125,"Wednesday, Month 1, day No.4","4:53:18 PM","GPS",0.0366483566657791,-0.030268138057707
"219",219,137125,"Wednesday, Month 1, day No.4","4:54:19 PM","GPS",0.0373983566657756,-0.0290331380577129
"220",220,137125,"Wednesday, Month 1, day No.4","4:55:21 PM","GPS",0.0435403566657797,-0.0290021380577201
"221",221,137125,"Wednesday, Month 1, day No.4","4:56:23 PM","GPS",0.0492223566657799,-0.0308181380577111
"222",222,137125,"Wednesday, Month 1, day No.4","4:57:26 PM","GPS",0.0475103566657751,-0.0283421380577096
"223",223,137125,"Wednesday, Month 1, day No.4","4:58:26 PM","GPS",0.0436883566657755,-0.0253011380577135
"224",224,137125,"Wednesday, Month 1, day No.4","4:59:30 PM","GPS",0.0435093566657798,-0.0194551380577082
"225",225,137125,"Wednesday, Month 1, day No.4","5:00:31 PM","GPS",0.0444503566657772,-0.0176901380577164
"226",226,137125,"Wednesday, Month 1, day No.4","5:01:40 PM","GPS",0.0446243566657785,-0.017592138057708
"227",227,137125,"Wednesday, Month 1, day No.4","5:02:42 PM","GPS",0.0437303566657761,-0.0181631380577159
"228",228,137125,"Wednesday, Month 1, day No.4","5:03:44 PM","GPS",0.0435953566657759,-0.0229991380577133
"229",229,137125,"Wednesday, Month 1, day No.4","5:05:46 PM","GPS",0.0505953566657737,-0.0299431380577175
"230",230,137125,"Wednesday, Month 1, day No.4","5:06:51 PM","GPS",0.0507933566657783,-0.029755138057709
"231",231,137125,"Wednesday, Month 1, day No.4","5:07:53 PM","GPS",0.0560833566657735,-0.0338201380577203
"232",232,137125,"Wednesday, Month 1, day No.4","5:08:55 PM","GPS",0.0634563566657746,-0.0337291380577085
"233",233,137125,"Wednesday, Month 1, day No.4","5:09:56 PM","GPS",0.0705763566657751,-0.030455138057718
"234",234,137125,"Wednesday, Month 1, day No.4","5:10:57 PM","GPS",0.0738093566657767,-0.028282138057719
"235",235,137125,"Wednesday, Month 1, day No.4","5:13:09 PM","GPS",0.0809943566657765,-0.0262361380577119
"236",236,137125,"Wednesday, Month 1, day No.4","5:14:12 PM","GPS",0.0866143566657769,-0.0276701380577151
"237",237,137125,"Wednesday, Month 1, day No.4","5:15:15 PM","GPS",0.090084356665777,-0.0337441380577133
"238",238,137125,"Wednesday, Month 1, day No.4","5:16:16 PM","GPS",0.093942356665778,-0.0385981380577078
"239",239,137125,"Wednesday, Month 1, day No.4","5:17:24 PM","GPS",0.0945693566657795,-0.0389691380577091
"240",240,137125,"Wednesday, Month 1, day No.4","5:18:30 PM","GPS",0.0965963566657777,-0.0384691380577067
"241",241,137125,"Wednesday, Month 1, day No.4","5:19:34 PM","GPS",0.0969083566657787,-0.0392621380577083
"242",242,137125,"Wednesday, Month 1, day No.4","5:20:36 PM","GPS",0.0973043566657736,-0.0392171380577082
"243",243,137125,"Wednesday, Month 1, day No.4","5:21:36 PM","GPS",0.0973393566657776,-0.0392081380577167
"244",244,137125,"Wednesday, Month 1, day No.4","5:22:42 PM","GPS",0.0965553566657746,-0.0393271380577147
"245",245,137125,"Wednesday, Month 1, day No.4","5:23:45 PM","GPS",0.0962293566657735,-0.0395761380577113
"246",246,137125,"Wednesday, Month 1, day No.4","5:24:47 PM","GPS",0.0956873566657777,-0.0397371380577169
